"Statistic Label","Census Year","Sex","CSO Electoral Divisions 2022","UNIT","VALUE"
"Persons with a disability","2022","Males","Tallaght-Kingswood, South Dublin","Number","465"
"Persons with a disability","2022","Males","Tallaght-Millbrook, South Dublin","Number","463"
"Persons with a disability","2022","Males","Tallaght-Oldbawn, South Dublin","Number","557"
"Persons with a disability","2022","Males","Tallaght-Springfield, South Dublin","Number","1078"
"Persons with a disability","2022","Males","Tallaght-Tymon, South Dublin","Number","677"
"Persons with a disability","2022","Males","Templeogue Village, South Dublin","Number","203"
"Persons with a disability","2022","Males","Templeogue-Cypress, South Dublin","Number","330"
"Persons with a disability","2022","Males","Templeogue-Kimmage Manor, South Dublin","Number","444"
"Persons with a disability","2022","Males","Templeogue-Limekiln, South Dublin","Number","417"
"Persons with a disability","2022","Males","Templeogue-Orwell, South Dublin","Number","235"
"Persons with a disability","2022","Males","Templeogue-Osprey, South Dublin","Number","248"
"Persons with a disability","2022","Males","Terenure-Cherryfield, South Dublin","Number","260"
"Persons with a disability","2022","Males","Terenure-Greentrees, South Dublin","Number","316"
"Persons with a disability","2022","Males","Terenure-St. James, South Dublin","Number","336"
"Persons with a disability","2022","Males","Airport, Fingal","Number","350"
"Persons with a disability","2022","Males","Balbriggan Rural, Fingal","Number","1742"
"Persons with a disability","2022","Males","Balbriggan Urban, Fingal","Number","968"
"Persons with a disability","2022","Males","Baldoyle, Fingal","Number","865"
"Persons with a disability","2022","Males","Balgriffin, Fingal","Number","366"
"Persons with a disability","2022","Males","Ballyboghil, Fingal","Number","126"
"Persons with a disability","2022","Males","Balscadden, Fingal","Number","76"
"Persons with a disability","2022","Males","Blanchardstown-Abbotstown, Fingal","Number","529"
"Persons with a disability","2022","Males","Blanchardstown-Blakestown, Fingal","Number","3329"
"Persons with a disability","2022","Males","Blanchardstown-Coolmine, Fingal","Number","1091"
"Persons with a disability","2022","Males","Blanchardstown-Corduff, Fingal","Number","408"
"Persons with a disability","2022","Males","Blanchardstown-Delwood, Fingal","Number","459"
"Persons with a disability","2022","Males","Blanchardstown-Mulhuddart, Fingal","Number","370"
"Persons with a disability","2022","Males","Blanchardstown-Roselawn, Fingal","Number","189"
"Persons with a disability","2022","Males","Blanchardstown-Tyrrelstown, Fingal","Number","323"
"Persons with a disability","2022","Males","Castleknock-Knockmaroon, Fingal","Number","1596"
"Persons with a disability","2022","Males","Castleknock-Park, Fingal","Number","476"
"Persons with a disability","2022","Males","Clonmethan, Fingal","Number","116"
"Persons with a disability","2022","Males","Donabate, Fingal","Number","1100"
"Persons with a disability","2022","Males","Dubber, Fingal","Number","592"
"Persons with a disability","2022","Males","Garristown, Fingal","Number","167"
"Persons with a disability","2022","Males","Hollywood, Fingal","Number","135"
"Persons with a disability","2022","Males","Holmpatrick, Fingal","Number","406"
"Persons with a disability","2022","Males","Howth, Fingal","Number","855"
"Persons with a disability","2022","Males","Kilsallaghan, Fingal","Number","273"
"Persons with a disability","2022","Males","Kinsaley, Fingal","Number","911"
"Persons with a disability","2022","Males","Lucan North, Fingal","Number","108"
"Persons with a disability","2022","Males","Lusk, Fingal","Number","949"
"Persons with a disability","2022","Males","Malahide East, Fingal","Number","706"
"Persons with a disability","2022","Males","Malahide West, Fingal","Number","577"
"Persons with a disability","2022","Males","Portmarnock North, Fingal","Number","398"
"Persons with a disability","2022","Males","Portmarnock South, Fingal","Number","392"
"Persons with a disability","2022","Males","Rush, Fingal","Number","1087"
"Persons with a disability","2022","Males","Skerries, Fingal","Number","921"
"Persons with a disability","2022","Males","Sutton, Fingal","Number","618"
"Persons with a disability","2022","Males","Swords Village, Fingal","Number","285"
"Persons with a disability","2022","Males","Swords-Forrest, Fingal","Number","1291"
"Persons with a disability","2022","Males","Swords-Glasmore, Fingal","Number","767"
"Persons with a disability","2022","Males","Swords-Lissenhall, Fingal","Number","1103"
"Persons with a disability","2022","Males","Swords-Seatown, Fingal","Number","647"
"Persons with a disability","2022","Males","The Ward, Fingal","Number","834"
"Persons with a disability","2022","Males","Turnapin, Fingal","Number","189"
"Persons with a disability","2022","Males","Ballinteer-Broadford, Dún Laoghaire-Rathdown","Number","265"
"Persons with a disability","2022","Males","Ballinteer-Ludford, Dún Laoghaire-Rathdown","Number","235"
"Persons with a disability","2022","Males","Ballinteer-Marley, Dún Laoghaire-Rathdown","Number","219"
"Persons with a disability","2022","Males","Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown","Number","186"
"Persons with a disability","2022","Males","Ballinteer-Meadowmount, Dún Laoghaire-Rathdown","Number","218"
"Persons with a disability","2022","Males","Ballinteer-Woodpark, Dún Laoghaire-Rathdown","Number","517"
"Persons with a disability","2022","Males","Ballybrack, Dún Laoghaire-Rathdown","Number","353"
"Persons with a disability","2022","Males","Blackrock-Booterstown, Dún Laoghaire-Rathdown","Number","255"
"Persons with a disability","2022","Males","Blackrock-Carysfort, Dún Laoghaire-Rathdown","Number","590"
"Persons with a disability","2022","Males","Blackrock-Central, Dún Laoghaire-Rathdown","Number","308"
"Persons with a disability","2022","Males","Blackrock-Glenomena, Dún Laoghaire-Rathdown","Number","184"
"Persons with a disability","2022","Males","Blackrock-Monkstown, Dún Laoghaire-Rathdown","Number","311"
